词,总词频,文档频率,文档占比,过滤原因
一种,32763,9212,0.932294,词频突变点前且覆盖面较高的泛词
所述,25472,4875,0.493371,词频突变点前且覆盖面较高的泛词
装置,19022,4107,0.415646,词频突变点前且覆盖面较高的泛词
方法,14181,3183,0.322133,词频突变点前且覆盖面较高的泛词
连接,13117,4197,0.424755,词频突变点前且覆盖面较高的泛词
包括,12141,8423,0.852444,词频突变点前且覆盖面较高的泛词
固定,10427,3139,0.31768,词频突变点前且覆盖面较高的泛词
通过,10317,5662,0.573019,词频突变点前且覆盖面较高的泛词
设置,10143,3863,0.390952,词频突变点前且覆盖面较高的泛词
进行,9960,5019,0.507945,词频突变点前且覆盖面较高的泛词
安装,9521,2799,0.283271,词频突变点前且覆盖面较高的泛词
平台,9490,2503,0.253314,词频突变点前且覆盖面较高的泛词
系统,8611,1968,0.19917,词频突变点前且覆盖面较高的泛词
本发明,7999,4477,0.453092,词频突变点前且覆盖面较高的泛词
设备,7597,2130,0.215565,词频突变点前且覆盖面较高的泛词
实用新型,7170,4330,0.438215,词频突变点前且覆盖面较高的泛词
基于,7154,1914,0.193705,词频突变点前且覆盖面较高的泛词
机构,7126,1689,0.170934,词频突变点前且覆盖面较高的泛词
第一,7004,2098,0.212327,词频突变点前且覆盖面较高的泛词
生产,6182,2339,0.236717,词频突变点前且覆盖面较高的泛词
用于,6165,2385,0.241372,词频突变点前且覆盖面较高的泛词
公开,5740,5541,0.560773,词频突变点前且覆盖面较高的泛词
组件,5293,1233,0.124785,词频突变点前且覆盖面较高的泛词
技术,5291,4055,0.410384,词频突变点前且覆盖面较高的泛词
模块,5094,948,0.095942,词频突变点前且覆盖面较高的泛词
设有,4665,1738,0.175893,词频突变点前且覆盖面较高的泛词
涉及,4639,3894,0.39409,词频突变点前且覆盖面较高的泛词
第二,4587,1683,0.170327,词频突变点前且覆盖面较高的泛词
领域,4454,4259,0.431029,词频突变点前且覆盖面较高的泛词
一种基于,4197,1285,0.130048,词频突变点前且覆盖面较高的泛词
结构,4083,1724,0.174476,词频突变点前且覆盖面较高的泛词
支撑,3675,1240,0.125493,词频突变点前且覆盖面较高的泛词
提高,3614,2886,0.292076,词频突变点前且覆盖面较高的泛词
能够,3477,2285,0.231252,词频突变点前且覆盖面较高的泛词
