模型,参数组,n_clusters,max_features,max_df,实际主题数,最大主题占比,最小主题占比,低支持主题数,主题分布均衡度,低支持阈值,TOP5词总数,TOP5词去重数,TOP5重复词数,重复词,n_components,nr_topics,dim_size,word_select_method,Topic数,TopN,TU,NPMI,C_V
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",8.0,5000.0,0.85,8,0.3527,0.0273,0,0.8595,200,40,37,3,支架、数据、电机,,,,,8,10,0.9125,0.1103,0.6948
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",10.0,5000.0,0.85,10,0.3671,0.0238,0,0.8382,200,50,44,6,支架、数据、用户、电机、电池,,,,,10,10,0.87,0.1185,0.6929
TF-IDF + KMeans,"K=12, max_features=5000, max_df=0.85",12.0,5000.0,0.85,12,0.2803,0.0241,0,0.8832,200,60,54,6,底座、支架、数据、材料、电机,,,,,12,10,0.8417,0.0874,0.7044
TF-IDF + NMF,"T=8, max_features=5000, max_df=0.85",,5000.0,0.85,8,0.2364,0.0452,0,0.9526,200,40,39,1,数据,8.0,,,,8,10,0.925,0.0719,0.6825
TF-IDF + NMF,"T=10, max_features=5000, max_df=0.85",,5000.0,0.85,10,0.2232,0.0404,0,0.9338,200,50,48,2,支架、数据,10.0,,,,10,10,0.93,0.0999,0.6875
TF-IDF + NMF,"T=12, max_features=5000, max_df=0.85",,5000.0,0.85,12,0.1559,0.0338,0,0.9626,200,60,57,3,信息、支架、模型,12.0,,,,12,10,0.8917,0.0789,0.6719
Sentence-BERT + CETopic,"T=20, dim=5, method=tfidf_idfi",,,,20,0.0832,0.0159,4,0.9658,200,93,84,9,光伏、农药、数据、新能源、电机、石墨、联网,,20.0,5.0,tfidf_idfi,20,10,0.8934,0.0016,0.5267
Sentence-BERT + CETopic,"T=30, dim=5, method=tfidf_idfi",,,,30,0.0555,0.0115,7,0.9759,200,143,126,17,业务、储能、光伏、太阳能、存储介质、数据、新能源、模具、目标、石墨、网络、联网,,30.0,5.0,tfidf_idfi,30,10,0.8593,0.0098,0.5198
Sentence-BERT + CETopic,"T=30, dim=2, method=tfidf_idfi",,,,30,0.0573,0.0122,5,0.9817,200,143,120,23,储能、光伏、图像、太阳能、存储介质、数据、新能源、模具、汽车、目标、石墨、网络、联网、食品,,30.0,2.0,tfidf_idfi,30,10,0.8392,-0.0055,0.5221
Sentence-BERT + CETopic,"T=30, dim=-1, method=tfidf_idfi",,,,30,0.0655,0.0123,5,0.979,200,145,119,26,业务、储能、光伏、农药、存储介质、支架、数据、新能源、材料、模型、电机、目标、石墨、纳米、联网,,30.0,-1.0,tfidf_idfi,30,10,0.8218,0.01,0.5433
